timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
2 5 149 0.38735437029762604 0.002645629702373975
2 121 141 0.38259492389234356 0.00740507610765645
2 121 272 0.3839169153030955 0.006083084696904495
3 142 236 0.3836353161569212 0.006364683843078811
4 25 135 0.3833664664798806 0.006633533520119417
4 59 296 0.3867461287522478 0.003253871247752227
6 5 261 0.3879610592208706 0.0020389407791294167
6 183 275 0.3864436756861329 0.0035563243138670986
12 40 262 0.38567223819280794 0.0043277618071920765
37 64 282 0.3822963370263298 0.0077036629736702
50 124 167 0.38848292486587455 0.0015170751341254674
52 193 276 0.3809765789981672 0.009023421001832788
56 269 283 0.38778934105568613 0.0022106589443138813
57 269 283 0.38778934105568613 0.0022106589443138813
