startTimeStep 1stPedId 2ndPedId durationTimesteps-PID5 xPath-PID5 yPath-PID5
- - - - 47.75994803392294 9.271491781650568
1 23 54 3 41.618099494524394 14.51319877585355
- - - - 41.618099494524394 14.51319877585355
- - - - 41.17732703448935 14.026821024496748
1 23 95 3 41.83628675907666 14.574865975377834
- - - - 41.83628675907666 14.574865975377834
- - - - 41.965582023015656 13.941239606837684
1 25 40 2 56.50814334043943 14.630458161586112
- - - - 56.50814334043943 14.630458161586112
1 28 94 2 40.71704198239693 16.784197159169217
- - - - 40.71704198239693 16.784197159169217
1 29 75 2 50.00971387944645 9.958157459948522
- - - - 50.00971387944645 9.958157459948522
1 29 100 2 50.12344513747972 9.430667257274873
- - - - 50.12344513747972 9.430667257274873
1 30 82 2 37.23244238542446 7.069266826487746
- - - - 37.23244238542446 7.069266826487746
1 33 51 2 48.38738921927522 1.2803967492265231
- - - - 48.38738921927522 1.2803967492265231
1 34 57 2 52.24336142525625 1.7837442350343646
- - - - 52.24336142525625 1.7837442350343646
1 35 60 2 38.27525156753275 9.759039275223
- - - - 38.27525156753275 9.759039275223
1 35 64 2 38.56779676544399 10.45780174468057
- - - - 38.56779676544399 10.45780174468057
1 37 92 2 43.576209082087516 9.002197749964939
- - - - 43.576209082087516 9.002197749964939
1 38 56 2 55.89037310602858 5.795478958000455
- - - - 55.89037310602858 5.795478958000455
1 39 41 2 58.03692175674846 18.029068607755505
- - - - 58.03692175674846 18.029068607755505
1 39 47 2 57.725607810106695 17.13896406889743
- - - - 57.725607810106695 17.13896406889743
1 39 59 2 58.26766023198528 17.38087260539183
- - - - 58.26766023198528 17.38087260539183
1 40 99 2 56.58841195222816 13.699257205142416
- - - - 56.58841195222816 13.699257205142416
1 41 59 2 58.65925769328328 17.752800426846875
- - - - 58.65925769328328 17.752800426846875
1 42 68 2 46.688253141987744 11.300620161834944
- - - - 46.688253141987744 11.300620161834944
1 42 91 2 46.10279010224086 11.149640296187147
- - - - 46.10279010224086 11.149640296187147
1 43 57 2 52.37379556491933 3.1427463299246376
- - - - 52.37379556491933 3.1427463299246376
1 43 62 2 52.17923179795267 4.483894896841795
- - - - 52.17923179795267 4.483894896841795
1 43 93 2 52.56943423265601 4.293502317705454
- - - - 52.56943423265601 4.293502317705454
1 44 96 2 38.373286886120255 12.598251597635912
- - - - 38.373286886120255 12.598251597635912
1 45 88 2 36.33685712215751 18.408023593217123
- - - - 36.33685712215751 18.408023593217123
1 46 72 2 39.01107009184327 2.2318061731888754
- - - - 39.01107009184327 2.2318061731888754
1 47 59 2 58.34794374664151 16.862695887988796
- - - - 58.34794374664151 16.862695887988796
1 48 49 2 54.82130603211063 2.656000330748675
- - - - 54.82130603211063 2.656000330748675
1 48 73 2 54.916279072373186 2.3845744943880414
- - - - 54.916279072373186 2.3845744943880414
1 49 73 2 55.16511222377521 2.6140133927948264
- - - - 55.16511222377521 2.6140133927948264
1 51 79 2 47.19282554891612 1.7836549131559347
- - - - 47.19282554891612 1.7836549131559347
1 52 58 2 48.932200090911806 18.20935995288169
- - - - 48.932200090911806 18.20935995288169
1 52 78 2 48.52441504952651 17.371794246468358
- - - - 48.52441504952651 17.371794246468358
1 53 69 2 51.94656385467567 8.652959375179494
- - - - 51.94656385467567 8.652959375179494
1 53 70 2 52.67240468212117 8.37395956552119
- - - - 52.67240468212117 8.37395956552119
1 54 77 2 42.29172085070483 14.983346748095308
- - - - 42.29172085070483 14.983346748095308
1 54 94 2 41.12648843763569 15.521959257288238
- - - - 41.12648843763569 15.521959257288238
1 54 95 2 41.767440877914325 15.068069619768387
- - - - 41.767440877914325 15.068069619768387
1 54 97 2 41.99416675632496 15.490163611955264
- - - - 41.99416675632496 15.490163611955264
1 55 66 2 47.061439710107805 8.794344242467034
- - - - 47.061439710107805 8.794344242467034
1 61 84 2 49.23584513863172 3.0982462825989425
- - - - 49.23584513863172 3.0982462825989425
1 61 86 2 49.81628971111057 2.436163858392307
- - - - 49.81628971111057 2.436163858392307
1 62 93 2 52.22261252424951 4.92566250910078
- - - - 52.22261252424951 4.92566250910078
1 68 91 2 46.20902812890708 11.702683570348821
- - - - 46.20902812890708 11.702683570348821
1 75 100 2 49.679274037644724 9.828418634884809
- - - - 49.679274037644724 9.828418634884809
1 77 87 2 43.13341270993783 14.318945052575533
- - - - 43.13341270993783 14.318945052575533
1 77 95 2 42.50990811525709 15.045013947619593
- - - - 42.50990811525709 15.045013947619593
1 77 97 2 42.73663399366773 15.467107939806471
- - - - 42.73663399366773 15.467107939806471
1 95 97 2 42.21235402087723 15.55183081147955
- - - - 42.21235402087723 15.55183081147955
3 1 52 1 49.97904367990532 17.195110920729313
3 7 19 1 52.048845512209326 17.3886661179461
3 8 61 1 48.38334089004315 2.3217164375416193
3 12 62 1 50.91000437641333 4.589367434189544
3 27 29 1 51.31751775704557 10.284801288663287
3 33 61 2 49.08095084271471 1.4192980742541816
- - - - 49.26208870566123 1.1975440665290589
3 55 100 1 48.83166980229139 9.03377153382159
4 2 53 1 53.64274572639789 10.044009297955682
4 29 69 1 51.09788241039463 8.74536549045475
4 42 91 1 45.21099511491321 11.302542895989344
5 27 53 1 52.03905038546201 10.693415017591054
5 51 79 1 45.923535253132385 1.6348205793866017
6 21 42 1 45.91024635044029 10.497436480718493
7 9 22 1 49.90408300112365 14.078819627083254
7 10 74 1 39.73885685295927 6.888542185732094
7 18 63 1 45.95699123098757 14.66039913443296
8 4 13 1 46.705054255703175 6.951683932472155
9 26 95 1 41.362528620600145 14.181145016552552
9 42 55 1 44.53943216177422 9.359785715866533
10 1 9 1 48.409728394097385 15.326369222838746
10 4 13 1 46.06854155962837 7.010252511062028
10 24 81 1 33.14970941495263 5.018602031883424
10 43 57 2 51.430905996515136 3.101333062334493
- - - - 50.61840628451863 3.1101797514242726
11 67 68 2 44.719046183844895 12.797317954005974
- - - - 44.719046183844895 12.797317954005974
